datasets	CLEAR	scGNN	contrastive-sc	scVI	graph-sc	scVI-LD	scNAME	scMAE
Pollen	0.151	0.705	0.831	0.952	0.911	0.875	0.924	0.936
Lung	0.102	0.387	0.600	0.423	0.743	0.522	0.643	0.749
Limb_Muscle	0.809	0.583	0.989	0.942	0.978	0.986	0.982	0.983
worm_neuron	0.188	0.061	0.155	0.481	0.477	0.511	0.251	0.487
Melanoma	0.240	0.467	0.519	0.527	0.654	0.503	0.639	0.750
Young	0.452	0.237	0.603	0.715	0.664	0.470	0.629	0.770
Guo	0.638	0.424	0.812	0.603	0.736	0.733	0.814	0.839
Baron	0.466	0.384	0.495	0.541	0.643	0.526	0.657	0.771
Wang	0.400	0.235	0.937	0.927	-0.039	0.742	0.943	0.936
Spleen	0.414	0.379	0.906	0.323	0.905	0.508	0.918	0.928
Tosches	0.494	0.512	0.392	0.566	0.751	0.645	0.584	0.726
Bach	0.609	0.672	0.816	0.741	0.809	0.828	0.850	0.890
Shekhar	0.412	0.448	0.463	0.467	0.675	0.558	0.712	0.979
Macosko	0.270	0.372	0.194	0.332	0.395	0.257	0.805	0.920
Hrvatin	0.669	0.733	0.861	0.751	0.168	0.889	0.873	0.931
Average	0.421	0.440	0.638	0.619	0.631	0.637	0.748	0.840
 
