subdir,max_nmi,max_ari,max_acc,max_sil
Baron,0.8281581042829301,0.8494365997636938,0.8566927296067219,0.63692206
Guo,0.857448371009086,0.8372617433353248,0.8841294298921417,0.6789649
Limb_Muscle,0.9771565062422262,0.9893024006660662,0.9938603223330776,0.7008727
Melanoma_5K,0.7560197256692973,0.7483308463763013,0.831819189009528,0.60229456
Pollen,0.9447183970615394,0.9503258186618188,0.9368770764119602,0.61304307
Quake_10x_Spleen,0.8691319415595773,0.92786123000338,0.9763400335008376,0.8637231
Quake_Smart-seq2_Lung,0.8818823705051007,0.8648209678874851,0.8842482100238663,0.71675545
worm_neuron_cell,0.6805841018452797,0.5091882445579192,0.7465360726230291,0.3731195
Wang,0.8618785747582003,0.9342917162564256,0.9848723605420736,0.7871673
Young,0.8157475491984656,0.751665412635795,0.8729991204925241,0.56744695
average,0.8472725642131703,0.8362484980144209,0.8968374544435761,0.654030959
