datasets	CLEAR	scGNN	contrastive-sc	scVI	graph-sc	scVI-LD	scNAME	scMAE
Pollen	0.306	0.808	0.947	0.916	0.894	0.922	0.923	0.930
Lung	0.286	0.642	0.705	0.726	0.765	0.820	0.796	0.824
Limb_Muscle	0.854	0.734	0.926	0.970	0.976	0.955	0.962	0.974
worm_neuron	0.325	0.211	0.635	0.673	0.308	0.697	0.456	0.684
Melanoma	0.385	0.606	0.631	0.615	0.618	0.731	0.713	0.745
Young	0.576	0.375	0.777	0.649	0.730	0.778	0.771	0.824
Guo	0.795	0.628	0.796	0.827	0.839	0.818	0.838	0.859
Baron	0.723	0.572	0.777	0.768	0.674	0.807	0.809	0.819
Wang	0.405	0.438	0.862	0.663	0.867	0.020	0.878	0.864
Spleen	0.534	0.501	0.557	0.638	0.802	0.843	0.846	0.861
Tosches	0.752	0.500	0.775	0.810	0.654	0.774	0.775	0.799
Bach	0.753	0.764	0.788	0.811	0.800	0.818	0.854	0.852
Shekhar	0.790	0.516	0.800	0.818	0.791	0.851	0.856	0.952
Macosko	0.546	0.414	0.599	0.569	0.518	0.594	0.718	0.851
Hrvatin	0.812	0.855	0.846	0.899	0.895	0.491	0.909	0.959
Average	0.589	0.571	0.762	0.757	0.742	0.728	0.807	0.853
