epoch,nmi,ari,acc,sil,iteration
19,0.17220787935939919,0.08402924988642924,0.27687529861442906,0.03540488,1
39,0.2953047287247131,0.16554924584106512,0.411371237458194,0.07755848,1
59,0.40164716045907917,0.23611833692817863,0.453416149068323,0.15701567,1
79,0.46793370958428904,0.29512798856986183,0.47802197802197804,0.2047612,1
99,0.5267982014604429,0.3495605436590238,0.5656951743908266,0.22981167,1
19,0.16284782407097245,0.07883185099975899,0.2904921165790731,0.025669646,2
39,0.2879319559227133,0.1390016787778069,0.3779264214046823,0.08081073,2
59,0.3615094797540918,0.18816188345163065,0.41065456282847584,0.15191339,2
79,0.42919420658502755,0.24969788345345936,0.4713330148112757,0.18918258,2
99,0.49597510733245537,0.32355760073968376,0.5289058767319637,0.21127184,2
19,0.13022535372334929,0.06061434622450817,0.2732919254658385,0.016438313,3
39,0.2512703670098455,0.12270897283592845,0.35570950788342093,0.065249585,3
59,0.3707585784185163,0.19893182427607337,0.45007166746297184,0.13317798,3
79,0.43770091223973495,0.2755697045958824,0.5286669851887243,0.17970277,3
99,0.5501507012480927,0.39548446052343783,0.6015289058767319,0.21960041,3
19,0.15414781965251922,0.07623248147958485,0.2840420449116101,0.031501196,4
39,0.2616020034370651,0.11555113271326499,0.3294314381270903,0.07530988,4
59,0.36739269749820685,0.19520900215375994,0.43048256091734355,0.14238793,4
79,0.45162301075028854,0.26173795890537566,0.4904443382704252,0.20060258,4
99,0.5313044643976912,0.35384733037635485,0.5441949354992833,0.24070793,4
19,0.15169333226199083,0.07724605089319798,0.29550883898709984,0.017776927,5
39,0.30457885306122234,0.15038274916783367,0.3838987099856665,0.06477861,5
59,0.4009328418688937,0.23004368095335556,0.4603440038222647,0.16488655,5
79,0.4605987944770201,0.274618255567643,0.46392737697085523,0.20620197,5
99,0.5321356742574089,0.3519786403046515,0.5492116579073101,0.2287578,5
19,0.15098434875711436,0.0694080953437491,0.2802197802197802,0.026494432,6
39,0.24943503059975455,0.11808555362175657,0.3404204491161013,0.08844765,6
59,0.33991416613716696,0.18326538038389087,0.42785475394171046,0.13878264,6
79,0.4320452958301,0.26414786684289726,0.48924988055422836,0.18128364,6
99,0.5089442131237395,0.3373123045262686,0.5482560917343526,0.21242705,6
19,0.18142904965366088,0.09477845395042252,0.3067367415193502,0.030893125,7
39,0.2938791092282351,0.15362811302148835,0.37410415671285235,0.097127154,7
59,0.35639325381854,0.19615597923197012,0.4393215480172002,0.16189355,7
79,0.47054099638077307,0.2977689379025577,0.49976110845676064,0.20420362,7
99,0.5592350126472491,0.3923818226071439,0.6089345437171524,0.2510315,7
19,0.16354164885749078,0.07467136940773716,0.2818920210224558,0.03477188,8
39,0.25266286092765067,0.1156780062362387,0.34878165312947923,0.088641055,8
59,0.35979185038566774,0.19226504728934385,0.4214046822742475,0.13942343,8
79,0.47319098507022944,0.31630065550920855,0.5387004300047779,0.20237073,8
99,0.5345703611611098,0.3691875095000732,0.5934065934065934,0.2179242,8
19,0.12791545066406773,0.06010313224984335,0.25489727663640704,0.030433329,9
39,0.2568648694245415,0.12702239221540143,0.3595317725752508,0.07587603,9
59,0.3271497700246651,0.1586492797958128,0.39918776875298617,0.15082055,9
79,0.44263659173246656,0.26339355097855566,0.4620162446249403,0.20356262,9
99,0.5270764949355861,0.3545079429097598,0.5678451982799809,0.2299891,9
19,0.18321779986242148,0.09144548098944837,0.3021978021978022,0.034598973,10
39,0.273461560027353,0.14286139108756774,0.3831820353559484,0.091275916,10
59,0.35250222828994054,0.19506119089783497,0.40993788819875776,0.17778282,10
79,0.4273597778010211,0.26865241825702024,0.48805542283803155,0.20660314,10
99,0.49965635988372914,0.3501395483255,0.5523172479694218,0.24639125,10
19,0.14139033545865043,0.06763522751323485,0.2603917821309126,0.026902474,11
39,0.2643573996503005,0.1232098156581015,0.3621595795508839,0.08721381,11
59,0.3339823362642952,0.16547870387335123,0.38772097467749644,0.1372865,11
79,0.4330092069995363,0.2702447516904839,0.49187768752986144,0.20545037,11
99,0.5213986215170513,0.356595591886716,0.5453893932154802,0.22509591,11
19,0.15466460465220996,0.08234387338616604,0.2921643573817487,0.034128424,12
39,0.2796112365442122,0.13857813477796707,0.3676540850453894,0.08931925,12
59,0.38511979569939614,0.21638970291409135,0.4371715241280459,0.15425596,12
79,0.49299011794164904,0.31966037006964537,0.5408504538939322,0.20459162,12
99,0.5476076852042876,0.39198459674741143,0.6108456760630674,0.22465391,12
19,0.1585808921167719,0.07968280442775409,0.2940754897276636,0.029750498,13
39,0.3015887881963699,0.1547219076226971,0.3707596751075012,0.08668319,13
59,0.3955977690779185,0.2197113403660502,0.45532728141423795,0.16031556,13
79,0.4866412531645836,0.3110410307333307,0.5281892021022456,0.20861435,13
99,0.5378366713238236,0.3700095078466438,0.5699952221691352,0.24129988,13
19,0.13089448767465242,0.059793122742689574,0.24964166268514096,0.0269545,14
39,0.26143267187056674,0.1238224881994447,0.31032011466794074,0.09139896,14
59,0.344457970610414,0.18634946396742394,0.3901098901098901,0.13426875,14
79,0.4155625422928234,0.2542818116805924,0.4393215480172002,0.18819861,14
99,0.5014005841524739,0.3596393955310204,0.5597228858098423,0.21925373,14
19,0.18373379402127815,0.08899512909308825,0.3014811275680841,0.037370086,15
39,0.2820918119627984,0.138208621199227,0.3690874343048256,0.09359026,15
59,0.3567025800740742,0.18611514164334278,0.4171046344959388,0.16556762,15
79,0.46869680969875527,0.287471432102052,0.5298614429049212,0.19225658,15
99,0.5250639112600127,0.36050943766068094,0.5630673674151935,0.22444825,15
19,0.15938239961337944,0.07167723305191327,0.2732919254658385,0.022322368,16
39,0.30205360203571696,0.15988712721243345,0.4065934065934066,0.0860124,16
59,0.38284617306518265,0.23270938925794032,0.4667940754897277,0.13311163,16
79,0.463267983770599,0.290366441793481,0.5183946488294314,0.2000955,16
99,0.5374480930086096,0.35355304976343815,0.5649784997611085,0.2369527,16
19,0.16967510706468772,0.07917603367799275,0.2919254658385093,0.027589377,17
39,0.2638713912826378,0.12179609409109554,0.32441471571906355,0.075743645,17
59,0.36235366584770645,0.1861728582520878,0.4101767797419971,0.14536151,17
79,0.46179072350672196,0.29128643103418206,0.5207835642618251,0.18470435,17
99,0.5659673839673163,0.3841977596101609,0.6015289058767319,0.22793339,17
19,0.1784653513135886,0.09456057572395102,0.32393693263258483,0.027681034,18
39,0.30875792327979634,0.15612776538552714,0.4022933588150979,0.09003868,18
59,0.42029920191931586,0.24099431952168807,0.4698996655518395,0.16559745,18
79,0.4873483384415145,0.29552880837511547,0.5086000955566173,0.2110069,18
99,0.5405637338907671,0.3623666755612251,0.5817009077878643,0.23325019,18
19,0.12878067966514728,0.0676039375477836,0.2654085045389393,0.027079543,19
39,0.27038722047798747,0.14273127992213014,0.37577639751552794,0.065913364,19
59,0.3825574246666341,0.22314875147731197,0.4878165312947922,0.1472472,19
79,0.45003190825124684,0.2966643793418599,0.5064500716674629,0.18993373,19
99,0.5160189025429639,0.3974294043560453,0.590539894887721,0.22571519,19
19,0.15733479410640058,0.07537042738777927,0.2861920688007645,0.027772129,20
39,0.24426445958697887,0.11046544603520535,0.3232202580028667,0.08352916,20
59,0.3694089712328965,0.21178911570018089,0.4577161968466316,0.15843117,20
79,0.46330680131342394,0.28979191919104746,0.5303392259913999,0.21903452,20
99,0.5295174175752637,0.3626996468559129,0.5914954610606784,0.2442377,20
